Dataset,Field,Compressor,Node,Rank,Cores,REL Error Bound,I/O Method,Iteration,Compression Runtime (s),I/O Runtime (s),Compression Energy (J),I/O Energy (J),Compressed Data Size
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,NetCDF,4,2.447387e+00,1.898142e-01,7.233670e+02,5.430064e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,NetCDF,5,2.447387e+00,2.572340e-01,7.233670e+02,6.378914e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,NetCDF,6,2.447387e+00,2.427243e-01,7.233670e+02,7.112500e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,NetCDF,6,2.447380e+00,2.426808e-01,7.165701e+02,6.507161e+01,21233456
nyx,temperature.f32,ZFP,2,3,128,1.000000e-03,NetCDF,7,2.447382e+00,1.980267e-01,7.086987e+02,5.493852e+01,21233456
nyx,temperature.f32,ZFP,0,2,128,1.000000e-03,NetCDF,8,2.447380e+00,1.988906e-01,7.165701e+02,5.655851e+01,21233456
nyx,temperature.f32,ZFP,1,2,128,1.000000e-03,NetCDF,9,2.447387e+00,2.813763e-01,7.233670e+02,7.250360e+01,21233456
nyx,temperature.f32,QoZ,1,2,128,1.000000e-03,HDF5,0,4.881669e+00,4.349074e-02,1.459931e+03,1.159848e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,HDF5,1,4.881665e+00,6.785848e-02,1.460585e+03,1.884810e+01,1243160
nyx,temperature.f32,QoZ,1,2,128,1.000000e-03,HDF5,2,4.881669e+00,9.583998e-02,1.459931e+03,2.841637e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,HDF5,3,4.881665e+00,4.428027e-02,1.460585e+03,1.163461e+01,1243160
nyx,temperature.f32,QoZ,2,3,128,1.000000e-03,HDF5,4,4.881671e+00,5.660633e-02,1.448465e+03,1.540377e+01,1243160
nyx,temperature.f32,QoZ,1,2,128,1.000000e-03,HDF5,5,4.881669e+00,3.976159e-02,1.459931e+03,1.000895e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,HDF5,6,4.881665e+00,5.564068e-02,1.460585e+03,1.490969e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,HDF5,7,4.881665e+00,5.010414e-02,1.460585e+03,1.282425e+01,1243160
nyx,temperature.f32,QoZ,2,3,128,1.000000e-03,HDF5,8,4.881671e+00,7.238998e-02,1.448465e+03,1.882063e+01,1243160
nyx,temperature.f32,QoZ,1,2,128,1.000000e-03,HDF5,9,4.881669e+00,7.297371e-02,1.459931e+03,2.019618e+01,1243160
nyx,temperature.f32,QoZ,2,3,128,1.000000e-03,NetCDF,0,4.881671e+00,1.392032e-01,1.448465e+03,4.114656e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,NetCDF,1,4.881665e+00,6.807416e-02,1.460585e+03,1.882222e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,NetCDF,2,4.881665e+00,6.319775e-02,1.460585e+03,1.662435e+01,1243160
nyx,temperature.f32,QoZ,1,2,128,1.000000e-03,NetCDF,3,4.881669e+00,9.938081e-02,1.459931e+03,2.900298e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,NetCDF,4,4.881665e+00,6.178197e-02,1.460585e+03,1.649965e+01,1243160
nyx,temperature.f32,QoZ,0,2,128,1.000000e-03,NetCDF,5,4.881665e+00,6.564400e-02,1.460585e+03,1.775270e+01,1243160
nyx,temperature.f32,QoZ,2,3,128,1.000000e-03,NetCDF,6,4.881671e+00,5.924829e-02,1.448465e+03,1.519753e+01,1243160
nyx,temperature.f32,QoZ,1,2,128,1.000000e-03,NetCDF,7,4.881669e+00,5.101277e-02,1.459931e+03,1.379757e+01,1243160
nyx,temperature.f32,QoZ,2,3,128,1.000000e-03,NetCDF,8,4.881671e+00,5.758816e-02,1.448465e+03,1.480215e+01,1243160
nyx,temperature.f32,QoZ,1,2,128,1.000000e-03,NetCDF,9,4.881669e+00,4.505779e-02,1.459931e+03,1.180899e+01,1243160
nyx,temperature.f32,SZ2,2,5,256,1.000000e-03,HDF5,0,2.533852e+00,1.069208e-01,7.698730e+02,2.621972e+01,2717853
nyx,temperature.f32,SZ2,4,6,256,1.000000e-03,HDF5,0,2.533887e+00,1.069119e-01,7.558780e+02,2.632647e+01,2717853
nyx,temperature.f32,SZ2,3,5,256,1.000000e-03,HDF5,1,2.533909e+00,7.381631e-02,7.728037e+02,1.959724e+01,2717853
nyx,temperature.f32,SZ2,1,5,256,1.000000e-03,HDF5,1,2.533904e+00,7.373817e-02,7.751306e+02,1.793019e+01,2717853
nyx,temperature.f32,SZ2,1,5,256,1.000000e-03,HDF5,2,2.533904e+00,8.422472e-02,7.751306e+02,2.062403e+01,2717853
nyx,temperature.f32,SZ2,5,6,256,1.000000e-03,HDF5,3,2.533898e+00,7.704166e-02,7.716629e+02,1.984852e+01,2717853
nyx,temperature.f32,SZ2,4,6,256,1.000000e-03,HDF5,4,2.533887e+00,6.523606e-02,7.558780e+02,1.637892e+01,2717853
nyx,temperature.f32,SZ2,1,5,256,1.000000e-03,HDF5,4,2.533904e+00,6.523680e-02,7.751306e+02,1.571657e+01,2717853
nyx,temperature.f32,SZ2,3,5,256,1.000000e-03,HDF5,5,2.533909e+00,6.758045e-02,7.728037e+02,1.765364e+01,2717853
nyx,temperature.f32,SZ2,2,5,256,1.000000e-03,HDF5,6,2.533852e+00,8.606410e-02,7.698730e+02,2.274488e+01,2717853
nyx,temperature.f32,SZ2,1,5,256,1.000000e-03,HDF5,7,2.533904e+00,6.040385e-02,7.751306e+02,1.440115e+01,2717853
nyx,temperature.f32,SZ2,4,6,256,1.000000e-03,HDF5,8,2.533887e+00,7.028657e-02,7.558780e+02,1.788808e+01,2717853
nyx,temperature.f32,SZ2,0,5,256,1.000000e-03,HDF5,9,2.533859e+00,6.358611e-02,7.742580e+02,1.537368e+01,2717853
nyx,temperature.f32,SZ2,5,6,256,1.000000e-03,NetCDF,0,2.533898e+00,9.254834e-02,7.716629e+02,2.454669e+01,2717853
nyx,temperature.f32,SZ2,0,5,256,1.000000e-03,NetCDF,1,2.533859e+00,8.202542e-02,7.742580e+02,2.193238e+01,2717853
nyx,temperature.f32,SZ2,1,5,256,1.000000e-03,NetCDF,2,2.533904e+00,1.153396e-01,7.751306e+02,3.064531e+01,2717853
nyx,temperature.f32,SZ2,0,5,256,1.000000e-03,NetCDF,3,2.533859e+00,8.607340e-02,7.742580e+02,2.281598e+01,2717853
nyx,temperature.f32,SZ2,0,5,256,1.000000e-03,NetCDF,4,2.533859e+00,1.046279e-01,7.742580e+02,2.763146e+01,2717853
nyx,temperature.f32,SZ2,3,5,256,1.000000e-03,NetCDF,5,2.533909e+00,1.289198e-01,7.728037e+02,3.698892e+01,2717853
nyx,temperature.f32,SZ2,0,5,256,1.000000e-03,NetCDF,6,2.533859e+00,1.139326e-01,7.742580e+02,3.223515e+01,2717853
nyx,temperature.f32,SZ2,0,5,256,1.000000e-03,NetCDF,7,2.533859e+00,1.050494e-01,7.742580e+02,2.827648e+01,2717853
nyx,temperature.f32,SZ2,0,5,256,1.000000e-03,NetCDF,8,2.533859e+00,7.852815e-02,7.742580e+02,1.934938e+01,2717853
nyx,temperature.f32,SZ2,1,5,256,1.000000e-03,NetCDF,9,2.533904e+00,7.792598e-02,7.751306e+02,1.900898e+01,2717853
nyx,temperature.f32,SZ3,0,5,256,1.000000e-03,HDF5,0,6.884393e+00,1.546266e-01,1.943228e+03,4.019320e+01,984854
nyx,temperature.f32,SZ3,5,6,256,1.000000e-03,HDF5,0,6.884385e+00,1.546479e-01,1.880547e+03,4.064211e+01,984854
nyx,temperature.f32,SZ3,0,5,256,1.000000e-03,HDF5,1,6.884393e+00,1.531711e-01,1.943228e+03,4.650727e+01,984854
nyx,temperature.f32,SZ3,3,5,256,1.000000e-03,HDF5,2,6.884387e+00,7.366709e-02,1.899479e+03,1.992005e+01,984854
nyx,temperature.f32,SZ3,1,5,256,1.000000e-03,HDF5,3,6.884394e+00,5.151006e-02,1.900417e+03,1.229422e+01,984854
nyx,temperature.f32,SZ3,4,6,256,1.000000e-03,HDF5,4,6.884366e+00,5.100802e-02,1.822285e+03,1.228751e+01,984854
nyx,temperature.f32,SZ3,0,5,256,1.000000e-03,HDF5,5,6.884393e+00,5.398467e-02,1.943228e+03,1.403518e+01,984854
nyx,temperature.f32,SZ3,0,5,256,1.000000e-03,HDF5,6,6.884393e+00,5.824608e-02,1.943228e+03,1.485354e+01,984854
nyx,temperature.f32,SZ3,1,5,256,1.000000e-03,HDF5,7,6.884394e+00,6.356190e-02,1.900417e+03,1.678780e+01,984854
